date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-07-09,8379.713452411295,9504.539468071207,13455.763309371196,15262.07150006398,15347.74515397023,10038.955590544856,11221.9885435509
2018-07-10,8386.169317937036,9486.450100933598,13430.15383681993,15233.024199500649,15318.53479635561,10027.645538531979,11230.2206206676
2018-07-11,8455.712932184859,9565.117964816274,13541.525477709538,15359.34642346195,15445.566130249746,10055.574837696095,11173.222619485983
2018-07-12,8765.544589839765,9212.215841594767,13041.91500658728,14792.668000459511,14875.706657342762,10183.823696181144,11365.754138833167
2018-07-13,8744.5408887459,9190.141841974331,13077.986743145562,14833.582024422802,14916.85035222123,10192.903936434004,11375.25430612699
2018-07-16,8678.933684408055,9121.191450937089,12979.867223836158,14722.290893267938,14804.934488188306,10166.237209713188,11348.018891841328
2018-07-17,8257.366358180061,8678.142058948626,12349.387936942034,14007.175761212518,14085.805056610925,10337.70102577342,11417.054241531458
2018-07-18,8297.450660889674,8625.54705795812,12274.542876056468,13922.283463064958,14000.43621546127,10317.058844745636,11395.520729170881
2018-07-19,8330.455635674438,8659.857109899083,12323.367628944521,13977.662474453442,14056.126096986573,10302.672049069886,11338.519725407945
2018-07-20,8417.023120297754,8749.847631424813,12451.428203825639,14122.913962996923,14202.192954908895,10269.39495150633,11335.989550216333
2018-07-23,8278.171992625914,8605.506075839643,12246.023653723252,13889.935806498152,13967.906975291387,10332.69339374863,11372.087583695717
2018-07-24,8127.771699153071,8449.158679283793,12023.534249898832,13637.57931723009,13714.133882613856,10269.470331392053,11418.952873785605
2018-07-25,7792.1309245321745,8100.246053661547,11527.015831481956,13074.408025587389,13147.80122835207,10408.385576997156,11578.552081224243
2018-07-26,7811.089880552934,8119.954681529337,11485.048913216833,13026.807447866644,13099.93344473982,10391.64851368284,11403.120262489676
2018-07-27,7355.326350854454,7646.169427072178,12165.084704130988,13798.131573069275,13875.587398704678,10186.900675476085,11249.221956115687
2018-07-30,7037.510681108309,7315.786743620593,12684.556488857079,14387.337502043507,14468.100835761166,10042.380985560685,11090.254291614514
2018-07-31,7102.255476822548,7383.091667146487,12570.109362641828,14257.526938115294,14337.561580100164,10079.511168913774,11175.119250019256
2018-08-01,7069.601428653249,7415.243895047144,12624.85025428784,14319.616273597052,14399.999454129871,10094.32863768266,11217.552730082067
2018-08-02,7516.530066272302,7884.023483977627,13422.972635193872,15224.878989886492,15310.343863598988,10304.400172374159,11370.185948860251
2018-08-03,7492.2831950907785,7858.591150158344,13472.46698683454,15281.0174872888,15366.797494513627,10316.431046212581,11405.019895604268
2018-08-06,7639.2581122381,8012.751871678588,13736.75420978114,15580.782755183725,15668.245495045117,10384.075592892825,11472.153610458929
2018-08-07,7620.223415945147,8028.287079556712,13763.387173791161,15610.990941195476,15698.623254739805,10392.650910593486,11513.952545002954
2018-08-08,7665.744638101542,8076.245967339333,13845.606049926948,15704.24691912765,15792.40272519906,10419.555667036413,11527.888525765617
2018-08-09,7665.744638101542,8076.245967339333,13845.606049926948,15704.24691912765,15792.40272519906,10419.555667036413,11520.920535384286
2018-08-10,7639.014975584249,8048.084928939927,13797.327846760298,15649.487826560166,15737.336242409689,10410.329365608188,11432.887853687833
2018-08-13,7575.44373181453,8107.358876861743,13898.944827628418,15764.745920209136,15853.241337484718,10379.820868679011,11420.220963962734
2018-08-14,7525.687122738573,8054.108572251814,13807.654549614439,15661.20079101236,15749.11495759976,10405.052329162845,11491.786488844475
2018-08-15,7623.107020767551,7940.53154310428,13612.942450916944,15440.35044577932,15527.024868728875,10359.966343034675,11351.184613412166
2018-08-16,7526.862195220349,7840.279103903817,13801.702664347276,15654.449921781155,15742.326192357252,10314.651555216164,11388.550737068672
2018-08-17,7586.478841206711,7902.378174093851,13911.019295953993,15778.441271017055,15867.013567158341,10343.982001015262,11391.085916562482
2018-08-20,7516.845470889098,7829.84528534477,13783.335402225955,15633.617029487279,15721.37635460127,10311.84727981684,11380.953205470756
2018-08-21,7528.350375517272,7841.829251705408,13804.431480344745,15657.545055361194,15745.438700472794,10318.71241122524,11422.753140875224
2018-08-22,7667.334952069867,7986.601115869758,14059.281874939084,15946.606690490393,16036.122983385128,10380.63167204754,11467.084252331742
2018-08-23,7667.334952069867,7986.601115869758,14059.281874939084,15946.606690490393,16036.122983385128,10384.077575212612,11450.620098098347
2018-08-24,7521.832721131247,7835.040203604904,13792.480321206742,15643.98956682597,15731.807118188875,10445.901297221353,11557.019569724103
2018-08-27,7412.634466426523,7943.242910156975,13982.955885088864,15860.034662755932,15949.064983484828,10499.440953976298,11674.817840897833
2018-08-28,7438.530132684782,7912.744489649142,13929.267728582836,15799.139382089767,15887.827867098636,10486.943579071294,11691.91854237089
2018-08-29,7659.329733991528,8147.62030481588,14342.733387268814,16268.108871267064,16359.429916980962,10589.585135579478,11826.818515878113
2018-08-30,7652.466535305156,8151.012182023761,14348.70430744611,16274.88133066397,16366.240393585587,10591.289581437431,11805.919549036318
2018-08-31,7597.757212443278,8092.738636486504,14246.121971021115,16158.528291660115,16249.23420667881,10618.026713395346,11821.118615673906
2018-09-04,7573.3752989175955,8066.768281274626,14200.40483315247,16106.674063037975,16197.088894291497,10604.902784144777,11770.45205763396
2018-09-05,7827.380825271407,8337.321851167331,14676.676133823074,16646.880254031305,16740.327533288033,10486.57470129519,11618.451382653679
